18,"Middle East General Trading",,Vegyeskereskedelem,"Dubai, Deira",,,60,YellowPages-UAE,new,"2026-04-29 20:46:09"
19,"Al Abbas Group",,"Technológiai kereskedelem","Dubai, Bur Dubai",,,80,YellowPages-UAE,new,"2026-04-29 20:46:09"
20,"Sultan bin Rashed Group",,"Építőanyag kereskedelem","Abu Dhabi",,,70,YellowPages-UAE,new,"2026-04-29 20:46:09"
21,"Zener Group",,"Biztonságtechnikai kereskedelem","Dubai, JAFZA",,,85,YellowPages-UAE,new,"2026-04-29 20:46:09"
22,"Eurotech General Trading",,"Ipari alkatrészek","Dubai, Al Barsha",,,70,YellowPages-UAE,new,"2026-04-29 20:46:09"
23,"Al Sayegh Brothers",,"Elektronika / Háztartási gépek","Abu Dhabi / Dubai",,,75,YellowPages-UAE,new,"2026-04-29 20:46:09"
24,"Scientechnic LLC",,"Elektromos és technológiai kereskedelem","Dubai, Al Barsha",,,85,YellowPages-UAE,new,"2026-04-29 20:46:09"
25,"Al Naboodah Electrics",,"Világítástechnikai kereskedelem","Dubai, Al Awir",,,75,YellowPages-UAE,new,"2026-04-29 20:46:09"
26,"Giffin Traffiks",,"Közlekedésbiztonsági kereskedelem","Abu Dhabi, Mussafah",,,70,YellowPages-UAE,new,"2026-04-29 20:46:09"
27,"Al Rostamani Trading",,"Gumiabroncs és kenőanyag kereskedelem","Dubai, Deira",,,75,YellowPages-UAE,new,"2026-04-29 20:46:09"
28,"Western Auto LLC",,"Járműkereskedelem","Dubai, JAFZA",,,80,YellowPages-UAE,new,"2026-04-29 20:46:09"
29,"Intermass Engineering",,"Mérnöki/Műszaki kereskedelem",Sharjah,,,70,YellowPages-UAE,new,"2026-04-29 20:46:09"
30,"Consolidated Suppliers",,"Olajipari beszállító","Abu Dhabi",,,85,YellowPages-UAE,new,"2026-04-29 20:46:09"
31,"Al Masaood Oil & Gas",,"Energiaipari kereskedelem","Abu Dhabi",,,90,YellowPages-UAE,new,"2026-04-29 20:46:09"
32,"Petrogas Piping",,"Csővezeték kereskedelem","Dubai, JAFZA",,,80,YellowPages-UAE,new,"2026-04-29 20:46:09"
33,"Apex Gulf Enterprises",,"Autóalkatrész nagykereskedelem","Dubai, Al Quoz",,,65,YellowPages-UAE,new,"2026-04-29 20:46:09"
34,"New East General Trading",,"Japán autóalkatrészek","Dubai, JAFZA",,,70,YellowPages-UAE,new,"2026-04-29 20:46:09"
35,"Al Muqarram Trading",,"Vegyipari kereskedelem",Sharjah,,,75,YellowPages-UAE,new,"2026-04-29 20:46:09"
36,"National Trading & Dev. Co.",,"FMCG / Kozmetika",Dubai,,,70,YellowPages-UAE,new,"2026-04-29 20:46:09"
37,"Trans-Gulf Management",,"Logisztikai kereskedelem","Dubai, JLT",,,80,YellowPages-UAE,new,"2026-04-29 20:46:09"
38,"Crestwood LLC",,"Tech-alapú kereskedelem","Dubai, Silicon Oasis",,,85,YellowPages-UAE,new,"2026-04-29 20:46:09"
39,"Gulf Drug LLC",,"Gyógyszerészeti kereskedelem","Dubai, Jebel Ali",,,80,YellowPages-UAE,new,"2026-04-29 20:46:09"
40,"Modern Pharmaceutical Co.",,"Orvosi eszközök",Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:46:09"
41,"Hotpack Global",,"Csomagolástechnika","Dubai, Investment Park",,,75,YellowPages-UAE,new,"2026-04-29 20:46:09"
42,"Emirates Petroleum Prod. Co.",,"Olajszármazékok",Dubai,,,90,YellowPages-UAE,new,"2026-04-29 20:46:09"
43,"RSA Logistics",,"Ellátási lánc kereskedelem","Dubai, South Zone",,,85,YellowPages-UAE,new,"2026-04-29 20:46:09"
44,"DB Schenker",,"Logisztikai menedzsment","Dubai, JAFZA",,,95,YellowPages-UAE,new,"2026-04-29 20:46:09"
45,"CEVA Logistics",,"Raktározás / Trading","Dubai, JAFZA",,,90,YellowPages-UAE,new,"2026-04-29 20:46:09"
46,"Honeywell Middle East",,"Automatizálási kereskedelem","Dubai, Tech Park",,,95,YellowPages-UAE,new,"2026-04-29 20:46:09"
47,"Siemens UAE",,"Ipari technológia","Abu Dhabi / Dubai",,,95,YellowPages-UAE,new,"2026-04-29 20:46:09"
48,"ABB UAE",,"Energetika / Robotika","Dubai, Silicon Oasis",,,95,YellowPages-UAE,new,"2026-04-29 20:46:09"
49,"Schneider Electric",,Energia-menedzsment,"Dubai, Silicon Oasis",,,95,YellowPages-UAE,new,"2026-04-29 20:46:09"
50,"Rockwell Automation",,"Gyártásautomatizálás","Dubai, Jebel Ali",,,90,YellowPages-UAE,new,"2026-04-29 20:46:09"
51,"IBM Middle East",,"Szoftveres kereskedelem","Dubai, Internet Park",,,95,YellowPages-UAE,new,"2026-04-29 20:46:09"
52,"Microsoft Gulf",,"Felhőalapú megoldások","Dubai, Internet Park",,,95,YellowPages-UAE,new,"2026-04-29 20:46:09"
53,"Oracle Middle East",,"Adatbázis-technológia","Dubai, Internet Park",,,95,YellowPages-UAE,new,"2026-04-29 20:46:09"
54,Endress+Hauser,,"Méréstechnika","Dubai, Silicon Oasis",,,90,YellowPages-UAE,new,"2026-04-29 20:48:02"
55,"Wika Middle East",,"Ipari műszerek","Dubai, JAFZA",,,85,YellowPages-UAE,new,"2026-04-29 20:48:02"
56,"Krohne Middle East",,"Áramlásmérés","Dubai, Silicon Oasis",,,85,YellowPages-UAE,new,"2026-04-29 20:48:02"
57,"Spirax Sarco",,"Gőztechnológia","Dubai, Silicon Oasis",,,80,YellowPages-UAE,new,"2026-04-29 20:48:02"
58,"Wilo Middle East",,"Víztechnológia","Dubai, JAFZA",,,80,YellowPages-UAE,new,"2026-04-29 20:48:02"
59,"Atlas Copco",,Kompresszorok,"Dubai, JAFZA",,,90,YellowPages-UAE,new,"2026-04-29 20:48:02"
60,"Akamai Technologies",,"Cloud Security","Dubai, Internet Park",,,95,YellowPages-UAE,new,"2026-04-29 20:48:02"
61,"Check Point Software",,"Kibervédelem","Dubai, Internet Park",,,95,YellowPages-UAE,new,"2026-04-29 20:48:02"
62,"Juniper Networks",,"Hálózati technológia","Dubai, Internet Park",,,90,YellowPages-UAE,new,"2026-04-29 20:48:02"
63,"Nvidia Middle East",,"AI / GPU Tech","Dubai, Internet Park",,,98,YellowPages-UAE,new,"2026-04-29 20:48:02"
64,"Pure Storage",,"Adattárolás","Dubai, Internet Park",,,85,YellowPages-UAE,new,"2026-04-29 20:48:02"
65,"Veeam Software",,"Adatmentés","Dubai, Internet Park",,,90,YellowPages-UAE,new,"2026-04-29 20:48:02"
66,McDermott,,"Tengeri infrastruktúra","Dubai, JAFZA",,,90,YellowPages-UAE,new,"2026-04-29 20:48:02"
67,Halliburton,,"Olajipari technológia","Dubai, Jebel Ali",,,95,YellowPages-UAE,new,"2026-04-29 20:48:02"
68,"Baker Hughes",,"Energia technológia","Dubai, JAFZA",,,95,YellowPages-UAE,new,"2026-04-29 20:48:02"
69,"Al Yousuf Group",,"General Trading","Dubai, Sheikh Zayed Rd",,,85,YellowPages-UAE,new,"2026-04-29 20:48:37"
70,"Al Ghandi Electronics",,Electronics,"Dubai, Al Qusais",,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
71,"Bin Haider Group",,"General Trading","Dubai, Deira",,,75,YellowPages-UAE,new,"2026-04-29 20:48:37"
72,"Al Hathboor Group",,"General Trading","Dubai, Al Garhoud",,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
73,"Al Khayyat Investments",,Retail/Trading,"Dubai, Silicon Oasis",,,90,YellowPages-UAE,new,"2026-04-29 20:48:37"
74,"Al Ghaith Trading",,"Oil & Gas Services","Abu Dhabi",,,85,YellowPages-UAE,new,"2026-04-29 20:48:37"
75,"Bukhatir Investments",,"General Trading",Sharjah,,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
76,"Easa Saleh Al Gurg",,"General Trading","Dubai, Deira",,,95,YellowPages-UAE,new,"2026-04-29 20:48:37"
77,"Gargash Motors",,Automotive,"Dubai, Al Quoz",,,85,YellowPages-UAE,new,"2026-04-29 20:48:37"
78,"Juma Al Majid Holding",,"General Trading","Dubai, Salahuddin Rd",,,95,YellowPages-UAE,new,"2026-04-29 20:48:37"
79,"Khalifa Al Jaber Group",,Construction/Trading,"Abu Dhabi",,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
80,"Mohamed Hareb Al Otaiba",,"General Trading",Dubai,,,85,YellowPages-UAE,new,"2026-04-29 20:48:37"
81,"Omer Bin Youssef Group",,"General Trading","Abu Dhabi",,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
82,"Sultan Bin Rashed",,"Industrial Trading","Abu Dhabi",,,75,YellowPages-UAE,new,"2026-04-29 20:48:37"
83,"United Arab Agencies",,"General Trading",Dubai,,,70,YellowPages-UAE,new,"2026-04-29 20:48:37"
84,"A.A. Al Moosa Enterprises",,"General Trading",Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
85,"Abdulla Al Masaood & Sons",,"General Trading","Abu Dhabi",,,85,YellowPages-UAE,new,"2026-04-29 20:48:37"
86,"Ahmed Mansoor Al Aali",,"General Trading",Dubai,,,75,YellowPages-UAE,new,"2026-04-29 20:48:37"
88,"Al Ahli Holding Group",,"General Trading",Dubai,,,85,YellowPages-UAE,new,"2026-04-29 20:48:37"
89,"Al Futtaim Engineering",,Engineering/Trading,Dubai,,,90,YellowPages-UAE,new,"2026-04-29 20:48:37"
90,"Al Geemi Group",,"General Trading","Abu Dhabi",,,75,YellowPages-UAE,new,"2026-04-29 20:48:37"
91,"Al Jaber LEGT Engineering",,Engineering,Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
92,"Al Jassim Group",,"General Trading",Dubai,,,70,YellowPages-UAE,new,"2026-04-29 20:48:37"
93,"Al Marwan Group",,"General Trading",Sharjah,,,75,YellowPages-UAE,new,"2026-04-29 20:48:37"
94,"Al Naboodah Enterprises",,"General Trading",Dubai,,,85,YellowPages-UAE,new,"2026-04-29 20:48:37"
95,"Al Nuaimi Group",,"General Trading","Ras Al Khaimah",,,70,YellowPages-UAE,new,"2026-04-29 20:48:37"
96,"Al Otaiba Group",,"General Trading","Abu Dhabi",,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
97,"Al Qudra Holding",,"General Trading","Abu Dhabi",,,85,YellowPages-UAE,new,"2026-04-29 20:48:37"
98,"Al Reyami Group",,"General Trading",Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
99,"Al Saqr Group",,"General Trading",Dubai,,,75,YellowPages-UAE,new,"2026-04-29 20:48:37"
100,"Al Shafar Group",,"General Trading",Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
101,"Al Taher Group",,"General Trading",Dubai,,,70,YellowPages-UAE,new,"2026-04-29 20:48:37"
102,"Al Wasl Group",,"General Trading",Dubai,,,75,YellowPages-UAE,new,"2026-04-29 20:48:37"
103,"Ali & Sons Marine",,Marine/Trading,"Abu Dhabi",,,85,YellowPages-UAE,new,"2026-04-29 20:48:37"
104,"Atlas Telecom",,Telecom/Trading,"Abu Dhabi",,,90,YellowPages-UAE,new,"2026-04-29 20:48:37"
105,"Bader Al Mulla",,"General Trading",Dubai,,,75,YellowPages-UAE,new,"2026-04-29 20:48:37"
106,"Bin Belaila Baytur",,"General Trading",Dubai,,,70,YellowPages-UAE,new,"2026-04-29 20:48:37"
107,"Bin Brook Motors",,"General Trading","Abu Dhabi",,,75,YellowPages-UAE,new,"2026-04-29 20:48:37"
108,"Bin Butti Group",,"General Trading","Abu Dhabi",,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
109,"Bin Hamoodah Trading",,"General Trading","Abu Dhabi",,,85,YellowPages-UAE,new,"2026-04-29 20:48:37"
110,"Bin Zayed Group",,"General Trading",Dubai,,,85,YellowPages-UAE,new,"2026-04-29 20:48:37"
111,"Consolidated Investment",,"General Trading",Dubai,,,75,YellowPages-UAE,new,"2026-04-29 20:48:37"
112,"Damas Trading",,"General Trading",Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
113,"Delta Emirates",,"General Trading",Dubai,,,70,YellowPages-UAE,new,"2026-04-29 20:48:37"
114,"Dubai Investments",,"General Trading","Dubai, Investment Park",,,95,YellowPages-UAE,new,"2026-04-29 20:48:37"
115,"Elite Group",,"General Trading",Dubai,,,75,YellowPages-UAE,new,"2026-04-29 20:48:37"
116,"Emirates Global Alum",,Industrial/Trading,"Dubai/Abu Dhabi",,,95,YellowPages-UAE,new,"2026-04-29 20:48:37"
117,"Emirates National Oil",,Oil/Trading,Dubai,,,95,YellowPages-UAE,new,"2026-04-29 20:48:37"
118,"Essdar Capital",,"General Trading",Dubai,,,75,YellowPages-UAE,new,"2026-04-29 20:48:37"
119,"Falcon Group",,"General Trading",Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
120,"Fine Fair Group",,"General Trading",Dubai,,,70,YellowPages-UAE,new,"2026-04-29 20:48:37"
121,"General Enterprises Co",,"General Trading",Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
122,"General International",,"General Trading",Dubai,,,75,YellowPages-UAE,new,"2026-04-29 20:48:37"
123,"Global Green Bridge",,"General Trading","Dubai, JLT",,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
124,"Green Coast Group",,"General Trading",Dubai,,,75,YellowPages-UAE,new,"2026-04-29 20:48:37"
125,"Gulf General Inv",,"General Trading",Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
126,"Habtoor Investment",,"General Trading",Dubai,,,90,YellowPages-UAE,new,"2026-04-29 20:48:37"
127,"Hamad Group",,"General Trading",Dubai,,,70,YellowPages-UAE,new,"2026-04-29 20:48:37"
128,"Index Group",,"General Trading",Dubai,,,75,YellowPages-UAE,new,"2026-04-29 20:48:37"
129,"International Business",,"General Trading",Dubai,,,70,YellowPages-UAE,new,"2026-04-29 20:48:37"
130,"J&P Group",,"General Trading",Dubai,,,75,YellowPages-UAE,new,"2026-04-29 20:48:37"
131,"Kanoo Group LLC",,"General Trading",Dubai,,,90,YellowPages-UAE,new,"2026-04-29 20:48:37"
132,"Khansaheb Group",,"General Trading",Dubai,,,85,YellowPages-UAE,new,"2026-04-29 20:48:37"
133,"Lamprell Energy",,Energy/Trading,Sharjah,,,85,YellowPages-UAE,new,"2026-04-29 20:48:37"
134,"Liberty Investment",,"General Trading",Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
135,"M.H. Alshaya",,Retail/Trading,Dubai,,,95,YellowPages-UAE,new,"2026-04-29 20:48:37"
136,"MAC Group",,"General Trading",Dubai,,,70,YellowPages-UAE,new,"2026-04-29 20:48:37"
137,"Malabar Group",,"General Trading",Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
138,"Marka Holding",,"General Trading",Dubai,,,75,YellowPages-UAE,new,"2026-04-29 20:48:37"
139,"Meeras Holding",,"General Trading",Dubai,,,90,YellowPages-UAE,new,"2026-04-29 20:48:37"
140,"National General Inv",,"General Trading",Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
141,"National Holding",,"General Trading","Abu Dhabi",,,85,YellowPages-UAE,new,"2026-04-29 20:48:37"
142,"Nael & Bin Harmal",,"General Trading","Al Ain",,,75,YellowPages-UAE,new,"2026-04-29 20:48:37"
143,"Oasis Inv Co",,"General Trading",Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
144,"Omniyat Group",,"General Trading",Dubai,,,85,YellowPages-UAE,new,"2026-04-29 20:48:37"
145,"Orient Group",,"General Trading",Dubai,,,75,YellowPages-UAE,new,"2026-04-29 20:48:37"
146,"Petrofac UAE",,Energy/Trading,Sharjah,,,90,YellowPages-UAE,new,"2026-04-29 20:48:37"
147,"RAK Investment",,"General Trading","Ras Al Khaimah",,,85,YellowPages-UAE,new,"2026-04-29 20:48:37"
148,"Rotana Group",,"General Trading",Dubai,,,85,YellowPages-UAE,new,"2026-04-29 20:48:37"
149,"Saif Al Ghurair",,"General Trading",Dubai,,,95,YellowPages-UAE,new,"2026-04-29 20:48:37"
150,"Schon Group",,"General Trading",Dubai,,,75,YellowPages-UAE,new,"2026-04-29 20:48:37"
151,"Seven Tides",,"General Trading",Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
152,"Sobha Investment",,"General Trading",Dubai,,,85,YellowPages-UAE,new,"2026-04-29 20:48:37"
153,"Swaidan Trading",,"General Trading",Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
154,"TAV Group",,"General Trading",Dubai,,,75,YellowPages-UAE,new,"2026-04-29 20:48:37"
155,"Union Properties",,"General Trading",Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
156,"Valrans Group",,"General Trading",Dubai,,,70,YellowPages-UAE,new,"2026-04-29 20:48:37"
157,"Wafi Group",,"General Trading",Dubai,,,85,YellowPages-UAE,new,"2026-04-29 20:48:37"
158,"Yashar General Trading",,"General Trading","Dubai, Deira",,,65,YellowPages-UAE,new,"2026-04-29 20:48:37"
159,"Zabeel Investment",,"General Trading",Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:48:37"
160,"Al Shirawi Trading LLC",,"General Trading","Dubai, Ras Al Khor",,,85,YellowPages-UAE,new,"2026-04-29 20:49:16"
161,"Bin Haider General Trading",,"General Trading","Dubai, Deira",,,75,YellowPages-UAE,new,"2026-04-29 20:49:16"
162,"Al Ghandi Trading",,Automotive/Trading,"Dubai, Jebel Ali",,,90,YellowPages-UAE,new,"2026-04-29 20:49:16"
163,"Galadari Trading",,"General Trading","Dubai, Al Quoz",,,85,YellowPages-UAE,new,"2026-04-29 20:49:16"
164,"Al Tayer Trading",,Retail/Trading,"Dubai, Al Garhoud",,,95,YellowPages-UAE,new,"2026-04-29 20:49:16"
165,"Sultan Al Habtoor Trading",,"General Trading",Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:49:16"
166,"Al Naboodah Trading",,"General Trading","Dubai, Al Awir",,,85,YellowPages-UAE,new,"2026-04-29 20:49:16"
167,"Al Rostamani Group",,"General Trading","Dubai, Sheikh Zayed Rd",,,95,YellowPages-UAE,new,"2026-04-29 20:49:16"
168,"AW Rostamani Trading",,Automotive/Trading,"Dubai, Deira",,,90,YellowPages-UAE,new,"2026-04-29 20:49:16"
169,"Al Ghurair Trading",,Industrial/Trading,"Dubai, Deira",,,95,YellowPages-UAE,new,"2026-04-29 20:49:16"
170,"Emirates Trading Agency",,"General Trading",Dubai,,,85,YellowPages-UAE,new,"2026-04-29 20:49:16"
171,"Al Maya Trading",,"General Trading","Dubai, Al Garhoud",,,80,YellowPages-UAE,new,"2026-04-29 20:49:16"
172,"Choithrams Trading",,"General Trading","Dubai, Al Quoz",,,85,YellowPages-UAE,new,"2026-04-29 20:49:16"
173,"Al Adil General Trading",,"General Trading","Dubai, Al Qusais",,,75,YellowPages-UAE,new,"2026-04-29 20:49:16"
174,"Best Food Trading",,Food/Trading,"Dubai, Al Quoz",,,80,YellowPages-UAE,new,"2026-04-29 20:49:16"
175,"Al Ghurair Food Trading",,Food/Trading,"Dubai, Jebel Ali",,,90,YellowPages-UAE,new,"2026-04-29 20:49:16"
176,"United Foods Trading",,Food/Trading,"Dubai, Jebel Ali",,,85,YellowPages-UAE,new,"2026-04-29 20:49:16"
177,"National Food Trading",,Food/Trading,"Abu Dhabi",,,85,YellowPages-UAE,new,"2026-04-29 20:49:16"
178,"Agthia Trading",,Food/Trading,"Abu Dhabi",,,90,YellowPages-UAE,new,"2026-04-29 20:49:16"
179,"IFFCO Trading",,FMCG/Trading,Sharjah,,,90,YellowPages-UAE,new,"2026-04-29 20:49:16"
180,"Al Batha Trading",,"General Trading",Sharjah,,,85,YellowPages-UAE,new,"2026-04-29 20:49:16"
181,"GIBCA Trading",,Industrial/Trading,Sharjah,,,80,YellowPages-UAE,new,"2026-04-29 20:49:16"
182,"Bukhatir Trading",,"General Trading",Sharjah,,,80,YellowPages-UAE,new,"2026-04-29 20:49:16"
183,"Fast Trading",,"General Trading",Sharjah,,,75,YellowPages-UAE,new,"2026-04-29 20:49:16"
184,"Al Marwan Trading",,Construction/Trading,Sharjah,,,80,YellowPages-UAE,new,"2026-04-29 20:49:16"
185,"Al Jaber Trading",,"General Trading","Abu Dhabi",,,85,YellowPages-UAE,new,"2026-04-29 20:49:16"
186,"Al Masaood Trading",,Automotive/Trading,"Abu Dhabi",,,90,YellowPages-UAE,new,"2026-04-29 20:49:16"
187,"Ali & Sons Trading",,"General Trading","Abu Dhabi",,,85,YellowPages-UAE,new,"2026-04-29 20:49:16"
188,"Al Fahim Trading",,Automotive/Trading,"Abu Dhabi",,,90,YellowPages-UAE,new,"2026-04-29 20:49:16"
189,"Al Badie Trading",,"General Trading","Abu Dhabi",,,80,YellowPages-UAE,new,"2026-04-29 20:49:16"
190,"Al Mazroui Trading",,"General Trading","Abu Dhabi",,,85,YellowPages-UAE,new,"2026-04-29 20:49:16"
191,"Universal Trading",,"General Trading","Abu Dhabi",,,80,YellowPages-UAE,new,"2026-04-29 20:49:16"
192,"Bin Ham Trading",,"General Trading","Abu Dhabi",,,75,YellowPages-UAE,new,"2026-04-29 20:49:16"
193,"Bin Zayed Trading",,"General Trading",Dubai,,,85,YellowPages-UAE,new,"2026-04-29 20:49:16"
194,"Zabeel Trading",,"General Trading",Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:49:16"
195,"Omniyat Trading",,"General Trading",Dubai,,,85,YellowPages-UAE,new,"2026-04-29 20:49:16"
196,"Meeras Trading",,"General Trading",Dubai,,,90,YellowPages-UAE,new,"2026-04-29 20:49:16"
197,"Nakheel Trading",,"General Trading",Dubai,,,95,YellowPages-UAE,new,"2026-04-29 20:49:16"
198,"Emaar Trading",,"General Trading",Dubai,,,98,YellowPages-UAE,new,"2026-04-29 20:49:16"
199,"Damac Trading",,"General Trading",Dubai,,,90,YellowPages-UAE,new,"2026-04-29 20:49:16"
200,"Sobha Trading",,"General Trading",Dubai,,,85,YellowPages-UAE,new,"2026-04-29 20:49:16"
201,"Azizi Trading",,"General Trading",Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:49:16"
202,"Danube Trading",,"Building Materials/Trading","Dubai, JAFZA",,,85,YellowPages-UAE,new,"2026-04-29 20:49:16"
203,"Conares Trading",,"Steel Trading","Dubai, JAFZA",,,80,YellowPages-UAE,new,"2026-04-29 20:49:16"
204,"Hamriyah Trading",,"Industrial Trading",Sharjah,,,85,YellowPages-UAE,new,"2026-04-29 20:49:16"
205,"SAIF Trading",,"General Trading",Sharjah,,,85,YellowPages-UAE,new,"2026-04-29 20:49:16"
206,"DAFZA Trading",,"General Trading",Dubai,,,90,YellowPages-UAE,new,"2026-04-29 20:49:16"
207,"JAFZA Trading",,"General Trading",Dubai,,,95,YellowPages-UAE,new,"2026-04-29 20:49:16"
208,"KIZAD Trading",,"Industrial Trading","Abu Dhabi",,,90,YellowPages-UAE,new,"2026-04-29 20:49:16"
209,"RAK Trading",,"General Trading","Ras Al Khaimah",,,80,YellowPages-UAE,new,"2026-04-29 20:49:16"
210,"Al Ghurair Giga Trading",,"General Trading",Dubai,,,75,YellowPages-UAE,new,"2026-04-29 20:49:58"
211,"Al Habtoor Royal Trading",,"General Trading",Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:49:58"
212,"Al Jaber Precision Engineering",,Engineering,"Abu Dhabi",,,85,YellowPages-UAE,new,"2026-04-29 20:49:58"
213,"Al Masaood Oil Industry",,"Oil & Gas","Abu Dhabi",,,90,YellowPages-UAE,new,"2026-04-29 20:49:58"
214,"Al Naboodah Cargo",,Logistics,Dubai,,,85,YellowPages-UAE,new,"2026-04-29 20:49:58"
215,"Al Rostamani International",,"General Trading",Dubai,,,80,YellowPages-UAE,new,"2026-04-29 20:49:58"
216,"Al Shirawi Industrial",,Industrial,Dubai,,,85,YellowPages-UAE,new,"2026-04-29 20:49:58"
217,"Al Tayer Insignia",,"Luxury Trading",Dubai,,,90,YellowPages-UAE,new,"2026-04-29 20:49:58"
218,"Ali & Sons Oilfield",,"Oil & Gas","Abu Dhabi",,,85,YellowPages-UAE,new,"2026-04-29 20:49:58"
219,"Bin Hamoodah Auto",,Automotive,"Abu Dhabi",,,80,YellowPages-UAE,new,"2026-04-29 20:49:58"
220,"Dubai South Logistics",,Logistics,"Dubai South",,,95,YellowPages-UAE,new,"2026-04-29 20:49:58"
221,"Emirates SkyCargo",,Logistics,Dubai,,,98,YellowPages-UAE,new,"2026-04-29 20:49:58"
222,"Etihad Cargo",,Logistics,"Abu Dhabi",,,95,YellowPages-UAE,new,"2026-04-29 20:49:58"
223,"Gulftainer Company",,Logistics,Sharjah,,,90,YellowPages-UAE,new,"2026-04-29 20:49:58"
224,"Jebel Ali Free Zone Authority",,Trade,Dubai,,,98,YellowPages-UAE,new,"2026-04-29 20:49:58"
225,"Kanoo Shipping",,Marine,Dubai,,,90,YellowPages-UAE,new,"2026-04-29 20:49:58"
226,"Milaha Maritime",,Marine,Dubai,,,85,YellowPages-UAE,new,"2026-04-29 20:49:58"
227,"National Marine Dredging",,Marine,"Abu Dhabi",,,90,YellowPages-UAE,new,"2026-04-29 20:49:58"
