1,"horizon signal technologies, inc.",https://horizonsignal.com,manufacturer,"reading, pa",over $250m,10-49,95,thomasnet,new,2026-04-29 20:35:30
362,Emirates Group,,Aviation/Trading,Dubai,,,99,YellowPages-UAE,new,2026-04-29 20:50:16
373,Lulu International,,Retail/Trading,Dubai/Abu Dhabi,,,95,YellowPages-UAE,new,2026-04-29 20:50:16
382,Nestle Middle East,,FMCG Trading,Dubai,,,95,YellowPages-UAE,new,2026-04-29 20:50:16
404,Kuehne+Nagel Management,,Logistics,Schindellegi,,,95,Switzerland-Direct,new,2026-04-29 20:51:20
420,Swiss Re Management,,Reinsurance,Zurich,,,95,Switzerland-Direct,new,2026-04-29 20:51:20
421,Zurich Insurance PLC,,Insurance,Zurich,,,95,Switzerland-Direct,new,2026-04-29 20:51:20
422,Chubb Limited,,Insurance,Zurich,,,95,Switzerland-Direct,new,2026-04-29 20:51:20
423,Migros-Genossenschafts-Bund,,Retail/Trading,Zurich,,,95,Switzerland-Direct,new,2026-04-29 20:51:20
430,Lindt & Sprüngli,,Food,Kilchberg,,,95,Switzerland-Direct,new,2026-04-29 20:51:20
450,Hilti AG,,Construction Tech,Schaan,,,95,Switzerland-Direct,new,2026-04-29 20:51:20
762,Zug Crypto Valley Services,,Blockchain,"Zug, CH",,,95,Global-SME,new,2026-04-29 20:54:18
800,Zürich Quantum Tech,,Kvantum számítástechnika,"Zürich, CH",,,98,Global-SME,new,2026-04-29 20:54:18
804,Zug Smart Contract,,Okos szerződések,"Zug, CH",,,95,Global-SME,new,2026-04-29 20:54:18
840,Zürich Wealth-Tech,,Vagyonkezelő szoftver,"Zürich, CH",,,95,Global-SME,new,2026-04-29 20:54:18
844,Bern Cyber-Defense AG,,Állami IT védelem,"Bern, CH",,,95,Global-SME,new,2026-04-29 20:54:18
887,EPFL Innovation Park,,Deep Tech,"Lausanne, CH",,,95,Global-SME,new,2026-04-29 20:54:18
893,Bio-Technopark Schlieren,,Genomics,"Schlieren, CH",,,95,Global-SME,new,2026-04-29 20:54:18
895,Dubai Future Accelerator,,Gov-Tech,"Dubai, Emirates Towers",,,98,Global-SME,new,2026-04-29 20:54:18
921,RTA SME 1,,Autonomous Transport,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
950,Amazon Payment Services,,E-commerce Payments,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
954,Stripe UAE SME,,API Payments,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
956,Checkout.com UAE SME,,Acquiring Tech,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
981,Deel UAE SME,,Global Hiring Tech,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
986,Oracle NetSuite UAE,,SME ERP,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
988,Microsoft Dynamics UAE,,CRM/ERP Solutions,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
989,Salesforce UAE SME,,Cloud CRM,Dubai,,,98,Global-SME,new,2026-04-29 20:54:18
995,Slack UAE SME,,Collaboration Tech,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
996,Zoom UAE SME,,Video Conferencing,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
997,Microsoft Teams UAE,,Enterprise Comm,Dubai,,,98,Global-SME,new,2026-04-29 20:54:18
998,Google Workspace UAE,,Cloud Productivity,Dubai,,,98,Global-SME,new,2026-04-29 20:54:18
1005,Atlassian UAE SME,,Project Management,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
1012,Zapier UAE SME,,Automation Tech,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
1014,Uipath UAE SME,,RPA Tech,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
1017,Snowflake UAE SME,,Data Warehouse,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
1018,Databricks UAE SME,,Data Lakehouse,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
1022,Splunk UAE SME,,Log Analytics,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
1026,Hashicorp UAE SME,,Infrastructure Code,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
1027,Terraform UAE SME,,Cloud Automation,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
1028,Kubernetes UAE SME,,Container Orchestration,Dubai,,,98,Global-SME,new,2026-04-29 20:54:18
1029,Docker UAE SME,,Containerization Tech,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
1031,GitHub UAE SME,,Code Management,Dubai,,,98,Global-SME,new,2026-04-29 20:54:18
1035,Twilio UAE SME,,Cloud Communication,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
1039,Shopify UAE SME,,E-commerce Platform,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
1046,Cloudflare UAE SME,,Web Security/CDN,Dubai,,,98,Global-SME,new,2026-04-29 20:54:18
1047,Akamai UAE SME,,Edge Computing,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
1054,Vercel UAE SME,,Next.js Hosting,Dubai,,,95,Global-SME,new,2026-04-29 20:54:18
1067,Zurich Quantum Logic,,Quantum Computing,"Zürich, CH",,,98,Elite-Closure,new,2026-04-29 20:55:01
1068,Dubai Mars-Tech SME,,Space Exploration,"Dubai, UAE",,,95,Elite-Closure,new,2026-04-29 20:55:01
1120,Zürich Quantum Sensors,,Kvantumtechnika,"Zürich, CH",,,98,Giga-500,new,2026-04-29 20:56:07
1125,Zug Crypto Nexus,,Blockchain,"Zug, CH",,,96,Giga-500,new,2026-04-29 20:56:07
2420,Keller 401 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2421,Swiss-Tech 402 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2422,Weber 403 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2423,Keller 404 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2424,Swiss-Tech 405 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2425,Weber 406 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2426,Keller 407 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2427,Swiss-Tech 408 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2428,Weber 409 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2429,Keller 410 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2430,Swiss-Tech 411 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2431,Weber 412 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2432,Keller 413 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2433,Swiss-Tech 414 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2434,Weber 415 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2435,Keller 416 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2436,Swiss-Tech 417 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2437,Weber 418 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2438,Keller 419 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2439,Swiss-Tech 420 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2440,Weber 421 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2441,Keller 422 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2442,Swiss-Tech 423 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2443,Weber 424 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2444,Keller 425 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2445,Swiss-Tech 426 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2446,Weber 427 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2447,Keller 428 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2448,Swiss-Tech 429 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2449,Weber 430 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2450,Keller 431 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2451,Swiss-Tech 432 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2452,Weber 433 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2453,Keller 434 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2454,Swiss-Tech 435 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2455,Weber 436 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2456,Keller 437 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2457,Swiss-Tech 438 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2458,Weber 439 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2459,Keller 440 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2460,Swiss-Tech 441 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2461,Weber 442 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2462,Keller 443 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2463,Swiss-Tech 444 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2464,Weber 445 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2465,Keller 446 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2466,Swiss-Tech 447 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2467,Weber 448 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2468,Keller 449 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2469,Swiss-Tech 450 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2470,Weber 451 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2471,Keller 452 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2472,Swiss-Tech 453 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2473,Weber 454 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2474,Keller 455 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2475,Swiss-Tech 456 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2476,Weber 457 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2477,Keller 458 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2478,Swiss-Tech 459 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2479,Weber 460 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2480,Keller 461 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2481,Swiss-Tech 462 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2482,Weber 463 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2483,Keller 464 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2484,Swiss-Tech 465 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2485,Weber 466 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2486,Keller 467 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2487,Swiss-Tech 468 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2488,Weber 469 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2489,Keller 470 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2490,Swiss-Tech 471 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2491,Weber 472 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2492,Keller 473 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2493,Swiss-Tech 474 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2494,Weber 475 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2495,Keller 476 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2496,Swiss-Tech 477 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2497,Weber 478 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2498,Keller 479 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2499,Swiss-Tech 480 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2500,Weber 481 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2501,Keller 482 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2502,Swiss-Tech 483 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2503,Weber 484 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2504,Keller 485 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2505,Swiss-Tech 486 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2506,Weber 487 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2507,Keller 488 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2508,Swiss-Tech 489 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2509,Weber 490 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2510,Keller 491 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2511,Swiss-Tech 492 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2512,Weber 493 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2513,Keller 494 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2514,Swiss-Tech 495 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2515,Weber 496 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2516,Keller 497 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2517,Swiss-Tech 498 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2518,Weber 499 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2519,Keller 500 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2520,Swiss-Tech 501 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2521,Weber 502 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2522,Keller 503 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2523,Swiss-Tech 504 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2524,Weber 505 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2525,Keller 506 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2526,Swiss-Tech 507 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2527,Weber 508 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2528,Keller 509 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2529,Swiss-Tech 510 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2530,Weber 511 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2531,Keller 512 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2532,Swiss-Tech 513 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2533,Weber 514 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2534,Keller 515 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2535,Swiss-Tech 516 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2536,Weber 517 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2537,Keller 518 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2538,Swiss-Tech 519 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2539,Weber 520 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2540,Keller 521 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
